id,cluster,label,value
0002894871bb30af2670648c58b2506e9801a321,6,1,20
000a95ca23df016a149ff9af94b6e9d8633d6691,10,0,30
000c45d729066044e3dd3f885fddf013b845b6d7,6,1,20
0011f80e44faa713714ead6aeab3b2f9db54aebd,8,0,10
0019c489db95ca9ee6e558274700ef3d76d37532,10,0,30
001a6360323863d3d0ae9721a0b7f4b2e8869aa2,9,1,6
001f1278377b3f9b8dd9ea5f9983bebdaebbae9d,10,0,30
001f48e71e2a3317fb6d36a315698ef9ad42312f,8,0,10
00212ec525b088997fdcc2d11e583ade01fd02dc,6,1,20
003356fa9d9ff6210f80772ddd14951cfd816b11,10,0,30
0044ac5d307b29399aaf2397943125a9fdf8a988,7,1,1
00561154bca213a63cdf64a5514dc8517d89e3c7,11,0,3
005d458ac59a881cbe66db3f25c83d590f09be88,6,1,20
005dae5fd4f9fb7e68e28fb3c9577520db418b23,6,1,20
0064693b72ebaa4dd4aefc48ed1fc355141568d9,10,0,30
006591ca39bee4b620ddd01391854cd9d358a5f6,10,0,30
006f5b70dab70a91db398074cbec50dc9f4783ce,6,1,20
00727e9a98a44fa68685e1868077bcb6b37373a3,6,1,20
007878cdf1c98b72c5e7e3012f8d92ddb550bb8b,11,0,3
0086c3dd671deb1a409dec45159cc3a154c842f0,10,0,30
008a4775130cd9d52e54652d9201d532f427272d,8,0,10
009bfaa5862873580dbab740621b6912421af570,8,0,10
00aa6a32ba86c1d22126af4c0a880518962c85b8,6,1,20
00b5224ef33b9349a13973bf72a0e7f3cdf979ec,9,1,6
00b881acbd6685cd16512c6df3b815f3dfd8b162,11,0,3
00b98eb0d5c657ffd972d3bb6aceaf8e66d8f2e3,7,1,1
00c962a72f2f7486173039f6c31e2f7026c983dd,10,0,30
00e4e8363bac48321241161c3bf14f4c6e0342e4,10,0,30
00e75c847f6125867772628bf0f010c992ac924d,10,0,30
00ed34de57b01936630fe2004d8b8a6c1f4b390f,8,0,10
00f77a528d0a69eeb6f3f67f64e486bb48b5e13d,10,0,30
00fd7499b7040514d999f5da294e0090c15ec4d2,6,1,20
01077a5798a0f291d76a27d30bc2a6a9358939c8,10,0,30
010c903ccea95572fda0d2be9ab2448bc55cbec8,10,0,30
01197e418a244bd05d8617b1afc08da6a6ec66b8,10,0,30
011ad0291cde7cb4664995ae42a1b995294c2bac,8,0,10
01206a434b80d06dc91dbe4cb8f2bb0cfd4ddee6,10,0,30
012c5fb33e74ab16f75a0854668a3a67ca0bd68a,6,1,20
01357152d1919261ef2f9c8635ef61d4f8cf6c52,9,1,6
0139819e3b0bf5cf649efec2bb890d31cfb63fa5,8,0,10
013b8fc81c8884fab78503359255f38f54bd65d9,9,1,6
0149a7abe20e1d749e8b8b4a333831325ab1f249,6,1,20
014f1a7e92ea4315300189573e3446366eb69e84,10,0,30
015181ec1c02d54d21d670381dd1ef31bbb87fcb,6,1,20
0159388bec85314e6b04fb3633bbecdc6ad9dc48,9,1,6
015a16f8b9679fc19f685195d20875fb06ece287,9,1,6
015e04c1506f25569b36ded0b8cf0825b371986b,9,1,6
01687de700087e25d52af2d39d0d9e731e941b56,9,1,6
016d4880f00cfd5249c512c5aed5ab05b5113d2f,8,0,10
01739b2d78e29b342086435950630cbdd8d16892,10,0,30
01756acac393d00819e06b6313f90e51e797389f,9,1,6
0184b529eb1a925b4627cee6cb1d37d0d945c0aa,9,1,6
0185a6281460c8ff1d1a3b7b6cca6c4c00700489,8,0,10
0196b124e7d0a8d711f60722e93bdf1e3fbd7c7d,11,0,3
019708a9f4606925169f397560381d2ce9dd1f55,8,0,10
019bd54e9f2feefc83e009a521ec1c10d6d91113,6,1,20
019c9721532fae17dfe78f0a8cc651f68e9e88a5,10,0,30
01a034bb77536bd5fef1ad436977716a232fd3fa,6,1,20
01a04cbcb46997063072d474d293961f42cd7a50,8,0,10
01b2658f6e48f6ebf257d3cea5851abea950b383,8,0,10
01b2d1ebdf5f09bbfb30f8000cc9342ff1708e69,8,0,10
01bc437ee62818c0296914ec77e2bb0ec27a1971,11,0,3
01c7328f2e0cb62d951dfcafff42dd0c5515f055,10,0,30
01c86c8e0800f15b26c2e5a8d3a0c1f9c1b947e6,9,1,6
01ca618b0b1a39863f7d66ab9e03aadcba9d7b2b,8,0,10
01cd014d988e689f8beec5262631a40d322d095d,8,0,10
01d346c0d45c664eca160104f3361c227b0a72ad,9,1,6
01dfc4544fc910cfbf609452713206d080790bf7,6,1,20
01dff0935d0e4cee6cbb2127e50ea0597dea1383,7,1,1
01eaf3da043fb88b0edbd158230930fc980f3fc4,6,1,20
01edcb8cde63d2d73c65da1f1e474900d0a74fb8,9,1,6
